Listing Date,Original Price,Address,Address 2,State,City,Zip,MLS #,Bedrooms,Full Baths,Sold Price,Closing Date,Total Heated Sq Ft,Selling Agent - Agent Name,Selling Office - Office Name,Status Date,Listing Agent - Agent Name,Listing Office - Office Name,Input Date,Number of Acres,Photo,Last Photo Update Date
6/6/2025,"$299,999",1325 Rabbit Ln.,,SC,Conway,29526,2514100,3,2,"$272,000",10/7/2025,1680,Mo Paul's Team,Salt Realty,10/8/2025,Joe M Scaturro,Keller Williams The Forturro Group,6/6/2025 12:09 PM,1.00,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2514100/0/120/90/d02d1a4d813cf05a68c6ecded2f788fc/5/32f46b2391f2c5a3c5faca59f27acec9/2514100-5200b5c1-4b68-4dad-ba81-7277cc4f6b01.JPG,
2/7/2024,"$269,999",9221 W Highway 19,,SC,Loris,29569,2403208,4,2,"$272,499",4/15/2024,1904,Rachael Freeman,Coastal Shores Realty Group,4/16/2024,The Forturro Group,Keller Williams Innovate South,2/7/2024 11:00 AM,3.65,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2403208/0/120/90/362ef5a616d3b08251bac320b6b77cc7/5/88bcbae5515ac43a67fb73ab6458075f/2403208-1df368e6-517e-4a66-a6a1-d10adbfadd6d.JPG,
5/9/2024,"$279,999",2846 Moores Mill Rd.,,SC,Aynor,29511,2411319,4,2,"$276,000",7/22/2024,2016,Jeff Forman,Keller Williams The Forturro Group,7/24/2024,Joe M Scaturro,Keller Williams The Forturro Group,5/9/2024 5:08 AM,1.80,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2411319/0/120/90/5d740d78a185f8f4863cd27a414cadd0/5/f7433dda9874e22d2fb0bdd0dd019069/2411319-6046a710-367f-4303-b93c-66d991f6bec9.JPG,
4/28/2025,"$259,999",116 Forman Way,,SC,Aynor,29511,2510565,4,2,"$285,000",7/10/2025,1792,Terri A Furlong,Iron Oak Properties,7/11/2025,Joe M Scaturro,Keller Williams The Forturro Group,4/28/2025 6:49 AM,1.00,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2510565/0/120/90/c11d93dc5169e6008aa4c56bba3c22b8/5/9255770f26d9309ad250d39f56d8cd86/2510565-E5EAC4CF-2372-49E3-84C4-73B09BC9AC27.JPG,
2/24/2024,"$350,000",2850 Moores Mill Rd.,,SC,Aynor,29511,2404733,4,2,"$335,000",7/18/2024,2016,Allie Chandler,EXP Realty LLC,7/19/2024,Joe M Scaturro,Keller Williams The Forturro Group,2/24/2024 1:24 PM,1.86,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2404733/0/120/90/f50466b0810f5c7e6fa1bd7c67e5fadd/5/badc61bb905835cd63ad5c8db0adc9aa/2404733-96bf923f-addc-4c6c-b97c-7e95206d5d6e.JPG,
7/7/2023,"$199,999",3820 Wayside Rd.,,SC,Conway,29527,2313405,4,2,"$225,000",11/3/2023,1680,The Forturro Group,Keller Williams Innovate South,11/6/2023,The Forturro Group,Keller Williams Innovate South,7/7/2023 9:13 AM,0.23,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2313405/0/120/90/0f667d916419bd52a1da32e03140369a/5/8b157786fe61dd8877ee5fd2eeb8e651/2313405.JPG,
8/2/2023,"$199,999",3838 Wayside Rd.,,SC,Conway,29527,2315294,3,2,"$210,000",12/7/2023,1568,Joseph A Sistare,Keller Williams Innovate South,12/12/2023,The Forturro Group,Keller Williams Innovate South,8/2/2023 10:36 AM,0.25,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2315294/0/120/90/6fb57692e82e9ad2f2f16a46e2243f8e/5/98326b9704b70f6f05a95c532538e61f/2315294.JPG,
8/15/2023,"$225,000",3810 Wayside Rd.,,SC,Conway,29527,2316420,3,2,"$225,000",9/13/2023,1568,Rebecca Swartz,RE/MAX Executive,9/13/2023,The Forturro Group,Keller Williams Innovate South,8/15/2023 4:06 PM,0.23,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2316420/0/120/90/c103a63ebf548d34fc395546d904291f/5/aba3906e95805f155fe0e8b673635381/2316420.JPG,
10/17/2023,"$214,999",3866 Wayside Rd.,,SC,Conway,29527,2321132,3,2,"$214,999",12/28/2023,1456,Higdon Properties Group,INNOVATE Real Estate,12/29/2023,The Forturro Group,Keller Williams Innovate South,10/17/2023 4:04 PM,0.23,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2321132/0/120/90/c37af89268323a42db796feb8d8b1ac8/5/80e1a28e96d4e6779997e6b77b90f9b2/2321132.JPG,
10/17/2023,"$214,999",3834 Wayside Rd.,,SC,Conway,29527,2321133,3,2,"$215,000",12/5/2023,1456,The Forturro Group,Keller Williams Innovate South,12/6/2023,The Forturro Group,Keller Williams Innovate South,10/17/2023 4:09 PM,0.23,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2321133/0/120/90/3fd9d0fe8f8561b1f54002396ed6f6ad/5/00e4ee3fa23fe3ba8f657c28db49ad4a/2321133.JPG,
11/20/2023,"$214,999",3824 Wayside Rd.,,SC,Conway,29527,2323619,3,2,"$220,000",1/2/2024,1456,Annmarie Alongi,Realty ONE Group Dockside,1/3/2024,The Forturro Group,Keller Williams Innovate South,11/20/2023 11:07 AM,0.23,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2323619/0/120/90/be500c79cc26cf6782d7d94ae7a86e10/5/a0bcd35c3471862cfa4ad460d78edc43/2323619.JPG,
11/17/2023,"$225,000",3860 Wayside Rd.,,SC,Conway,29527,2323622,3,2,"$225,000",11/16/2023,1568,Rob Deaton Properties Group,RE/MAX Executive,11/20/2023,The Forturro Group,Keller Williams Innovate South,11/20/2023 11:32 AM,0.25,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2323622/0/120/90/7a37332383abb67ec3e0ac016e1c893b/5/eefc18f6bb1bdb24779f11e20df8b77c/2323622.JPG,
